Sample	Ct_Actin_of_Alfa_glucosidase	Ct_Alfa_glucosidase	Ct_Actin_of_COMP	Ct_COMP
5_day_old_BS	24.27	26.25	24.27	30.26
5_day_old_BS	24.33	25.97	24.33	30.56
5_day_old_BS	24.24	25.67	24.24	30.12
5_day_old_B	25.13	25.56	25.13	28.64
5_day_old_B	24.99	25.42	24.99	28.55
5_day_old_B	24.92	25.19	24.92	28.67
5_day_old_S	23.02	23.18	23.02	27.73
5_day_old_S	23.00	23.19	23.00	27.78
5_day_old_S	22.97	23.17	22.97	27.73
New_Bees1	17.29	19.69	17.29	22.82
New_Bees1	18.17	19.11	18.17	22.74
New_Bees1	17.96	19.68	17.96	23.48
New_Bees2	16.88	21.28	16.88	23.74
New_Bees2	17.01	21.94	17.01	23.08
New_Bees2	16.96	21.13	16.96	23.57
Nurses	18.58	17.47	18.58	24.19
Nurses	18.4	17.95	18.4	24.24
Nurses	18.39	17.23	18.39	24.55
Foragers	17.96	14.62	17.96	22.72
Foragers	17.46	14.08	17.46	22.15
Foragers	17.91	14.34	17.91	22.13
5_day_old_BS	23.28	26.67	23.28	28.69
5_day_old_BS	23.18	26.57	23.18	28.9
5_day_old_BS	23.14	26.29	23.14	28.36
5_day_old_Ah	22.34	24.38	22.34	27.19
5_day_old_Ah	22.39	24.04	22.39	27.23
5_day_old_Ah	22.55	24.07	22.55	27
5_day_old_Sh	22.55	25.81	22.55	27.21
5_day_old_Sh	22.68	25.48	22.68	27.12
5_day_old_Sh	22.65	25.48	22.65	27.17
5_day_old_S ala	20.91	23.07	20.91	27.76
5_day_old_S ala	20.9	22.75	20.9	27.58
5_day_old_S ala	20.92	22.68	20.92	27.52
5_day_old_S arg	21.5	24.34	21.5	27.35
5_day_old_S arg	21.5	23.86	21.5	27.5
5_day_old_S arg	21.38	24	21.38	27.6
